from,to,value
1,1,0.0
1,2,914.5366657936302
1,3,600.0
1,4,0.0
1,5,773.7004113264702
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
5,1,0.0
5,2,0.0
5,3,336.59999999999127
5,4,437.1004113264753
5,5,0.0
